trip_id,start_time,start_lon,start_lat,end_time,end_lon,end_lat,charging,charging_time,charging_waittime
17663,06/01/14 10:12 PM,114.11039699999999,22.548000000000002,06/01/14 10:26 PM,114.121201,22.5814,0,0,0
13968,06/01/14 12:46 AM,114.115997,22.541999999999998,06/01/14 01:14 AM,114.1464,22.609699,0,0,0
12900,06/01/14 12:19 AM,114.108902,22.5378,06/01/14 12:31 AM,114.038002,22.5235,0,0,0
14317,06/01/14 01:56 AM,113.8097,22.6255,06/01/14 02:30 AM,114.064598,22.6509,0,0,0
17356,06/01/14 02:55 AM,114.04789699999999,22.538,06/01/14 03:05 AM,114.058998,22.5277,0,0,0
19615,06/01/14 10:24 PM,113.889198,22.5762,06/01/14 10:35 PM,113.916702,22.5653,0,0,0
25968,06/01/14 10:10 PM,114.128403,22.5504,06/01/14 10:14 PM,114.1213,22.540001,0,0,0
24255,06/01/14 09:23 AM,113.949402,22.5427,06/01/14 09:37 AM,113.949799,22.5847,0,0,0
8193,06/01/14 12:04 AM,114.043297,22.6017,06/01/14 12:20 AM,114.056297,22.5257,0,0,0
15903,06/01/14 12:08 PM,114.111298,22.5457,06/01/14 12:23 PM,114.157402,22.5637,0,0,0
24464,06/01/14 08:56 PM,114.058098,22.544901,06/01/14 09:01 PM,114.0653,22.5476,0,0,0
9738,06/01/14 04:46 AM,114.0952,22.5425,06/01/14 04:52 AM,114.107201,22.558598999999997,0,0,0
4561,06/01/14 04:12 PM,114.07599599999999,22.5464,06/01/14 04:13 PM,114.076401,22.543501000000003,0,0,0
14729,06/01/14 12:23 PM,114.07599599999999,22.547001,06/01/14 12:32 PM,114.077003,22.5432,0,0,0
18,06/01/14 12:45 PM,114.1157,22.5965,06/01/14 12:50 PM,114.115303,22.578899,0,0,0
3032,06/01/14 12:23 AM,114.087997,22.5376,06/01/14 12:33 AM,114.07330300000001,22.531799,0,0,0
24652,06/01/14 01:45 PM,114.25565300000001,22.72205,06/01/14 01:56 PM,114.28453799999998,22.732719,0,0,0
26351,06/01/14 04:20 PM,114.043701,22.549801000000002,06/01/14 04:39 PM,114.103104,22.538,0,0,0
11455,06/01/14 03:10 PM,114.133797,22.5711,06/01/14 03:18 PM,114.116997,22.5765,0,0,0
27880,06/01/14 03:35 PM,113.949402,22.5807,06/01/14 03:49 PM,113.942497,22.506901,0,0,0
30,06/01/14 08:28 PM,113.961304,22.558701,06/01/14 08:51 PM,113.985199,22.547701,1,3342,0
4,06/01/14 08:36 PM,114.119904,22.541401,06/01/14 05:03 AM,114.135002,22.544001,1,5884,110
20,06/01/14 01:44 AM,114.067802,22.5301,06/01/14 01:56 AM,114.031502,22.5252,1,1876,268
17,06/01/14 05:12 AM,114.05390200000001,22.5313,06/01/14 06:02 AM,114.045125,22.55141,1,3776,120
2,06/01/14 02:46 PM,114.1045,22.537399,06/01/14 03:02 PM,114.135002,22.544001,1,3588,121
39,06/01/14 09:16 PM,114.110199,22.5427,06/01/14 09:24 PM,114.135002,22.544001,1,3792,894
9,06/01/14 02:12 AM,113.91950200000001,22.5529,06/01/14 02:35 AM,113.922977,22.546375,1,5325,2177
21,06/01/14 05:07 AM,114.116203,22.6015,06/01/14 05:57 AM,114.123241,22.562538,1,2262,803
14,06/01/14 10:53 AM,114.04409799999999,22.553301,06/01/14 11:06 AM,114.045125,22.55141,1,3003,0
0,06/01/14 02:40 AM,114.117897,22.5399,06/01/14 02:56 AM,114.135002,22.544001,1,4356,42
23,06/01/14 04:46 PM,114.106796,22.629801,06/01/14 05:18 PM,114.101748,22.582541,1,5670,1698
31,06/01/14 01:48 AM,114.016502,22.6387,06/01/14 02:10 AM,114.023902,22.619512,1,4739,2487
15,06/01/14 04:46 PM,114.044601,22.535,06/01/14 05:06 PM,114.0090009,22.53423323,1,4774,510
47,06/01/14 02:31 AM,114.111801,22.5849,06/01/14 03:00 AM,114.101748,22.582541,1,5154,0
16,06/01/14 04:46 PM,114.044601,22.535,06/01/14 12:02 AM,114.0090009,22.53423323,1,2230,0
28,06/01/14 10:12 AM,114.063202,22.5187,06/01/14 10:34 AM,114.0090009,22.53423323,1,4319,0
13,06/01/14 04:38 AM,114.067902,22.5287,06/01/14 04:45 AM,114.0090009,22.53423323,1,6760,393
